DateStamp;consigna;nivel;converbomba;valvula;salida;On/Off B1;On/Off B2
2006-05-22 11:49:38.850000000;0;0;0;0;0;False;False
2006-05-22 11:49:38.943000000;30;-1.1999969482421875;0;0;7.400054931640625;False;False
2006-05-22 11:49:39.037000000;30;-1.2100067138671875;0;0;7.400054931640625;False;False
2006-05-22 11:49:39.130000000;30;-1.1999969482421875;0;0;7.400054931640625;False;False
2006-05-22 11:49:39.227000000;30;-1.214996337890625;0;0;7.400054931640625;False;False
2006-05-22 11:49:39.317000000;30;-1.2100067138671875;0;0;7.400054931640625;False;False
2006-05-22 11:49:39.413000000;30;-1.1999969482421875;0;0;7.400054931640625;False;False
2006-05-22 11:49:39.507000000;30;-1.2050018310546875;0;0;93.599990844726562;False;False
2006-05-22 11:49:39.600000000;30;-1.2100067138671875;0;0;93.599990844726562;False;False
2006-05-22 11:49:39.693000000;30;-1.2050018310546875;0;0;93.599990844726562;False;False
2006-05-22 11:49:39.787000000;30;-1.2050018310546875;0;0;93.599990844726562;False;False
2006-05-22 11:49:39.880000000;30;-1.1999969482421875;0;0;93.599990844726562;False;False
2006-05-22 11:49:39.977000000;30;-1.214996337890625;0;0;93.644989013671875;False;False
2006-05-22 11:49:40.067000000;30;-1.2100067138671875;0;0;93.644989013671875;False;False
2006-05-22 11:49:40.177000000;30;-1.2100067138671875;0;0;93.644989013671875;False;False
2006-05-22 11:49:40.287000000;30;-1.2050018310546875;0;0;93.644989013671875;False;False
2006-05-22 11:49:40.397000000;30;-1.2050018310546875;0;0;93.644989013671875;False;False
2006-05-22 11:49:40.507000000;30;-1.19500732421875;0;0;93.644989013671875;False;False
2006-05-22 11:49:40.617000000;30;-1.1999969482421875;0;0;93.58502197265625;False;False
2006-05-22 11:49:40.727000000;30;-1.2100067138671875;0;0;93.58502197265625;False;False
2006-05-22 11:49:40.833000000;30;-1.2100067138671875;0;0;93.58502197265625;False;False
2006-05-22 11:49:40.927000000;30;-1.1999969482421875;0;0;93.58502197265625;False;False
2006-05-22 11:49:41.023000000;30;-1.2050018310546875;0;0;93.58502197265625;False;False
2006-05-22 11:49:41.117000000;30;-1.214996337890625;0;0;93.615005493164063;False;False
2006-05-22 11:49:41.210000000;30;-1.2050018310546875;0;0;93.615005493164063;False;False
2006-05-22 11:49:41.317000000;30;-1.2100067138671875;0;0;93.615005493164063;False;False
2006-05-22 11:49:41.427000000;30;-1.2050018310546875;0;0;93.615005493164063;False;False
2006-05-22 11:49:41.537000000;30;-1.2100067138671875;0;0;93.615005493164063;False;False
2006-05-22 11:49:41.647000000;30;-1.2050018310546875;0;0;93.630020141601563;False;False
2006-05-22 11:49:41.740000000;30;-1.2050018310546875;0;0;93.630020141601563;False;False
2006-05-22 11:49:41.833000000;30;-1.19500732421875;0;0;93.630020141601563;False;False
2006-05-22 11:49:41.943000000;30;-1.2050018310546875;0;0;93.630020141601563;False;False
2006-05-22 11:49:42.053000000;30;-1.214996337890625;0;0;93.630020141601563;False;False
2006-05-22 11:49:42.163000000;30;-1.2050018310546875;0;0;93.58502197265625;False;False
2006-05-22 11:49:42.273000000;30;-1.1999969482421875;0;0;93.58502197265625;False;False
2006-05-22 11:49:42.380000000;30;-1.19500732421875;0;0;93.58502197265625;False;False
2006-05-22 11:49:42.490000000;30;-1.214996337890625;0;0;93.58502197265625;False;False
2006-05-22 11:49:42.600000000;30;-1.1999969482421875;0;0;93.58502197265625;False;False
2006-05-22 11:49:42.710000000;30;-1.2100067138671875;0;0;93.599990844726562;False;False
2006-05-22 11:49:42.803000000;30;-1.214996337890625;0;0;93.599990844726562;False;False
2006-05-22 11:49:42.897000000;30;-1.1999969482421875;0;0;93.599990844726562;False;False
2006-05-22 11:49:42.990000000;30;-1.2100067138671875;0;0;93.599990844726562;False;False
2006-05-22 11:49:43.083000000;30;-1.2050018310546875;0;0;93.599990844726562;False;False
2006-05-22 11:49:43.177000000;30;-1.1999969482421875;0;0;93.615005493164063;False;False
2006-05-22 11:49:43.287000000;30;-1.1999969482421875;0;0;93.615005493164063;False;False
2006-05-22 11:49:43.397000000;30;-1.214996337890625;0;0;93.615005493164063;False;False
2006-05-22 11:49:43.507000000;30;-1.2050018310546875;0;0;93.615005493164063;False;False
2006-05-22 11:49:43.617000000;30;-1.19000244140625;0;0;93.615005493164063;False;False
2006-05-22 11:49:43.727000000;30;-1.1999969482421875;0;0;93.615005493164063;False;False
2006-05-22 11:49:43.833000000;30;-1.2050018310546875;0;0;93.615005493164063;False;False
2006-05-22 11:49:43.943000000;30;-1.2100067138671875;0;0;93.615005493164063;False;False
2006-05-22 11:49:44.053000000;30;-1.19500732421875;0;0;93.615005493164063;False;False
2006-05-22 11:49:44.163000000;30;-1.2050018310546875;0;0;93.615005493164063;False;False
2006-05-22 11:49:44.273000000;30;-1.1999969482421875;0;0;93.615005493164063;False;False
2006-05-22 11:49:44.380000000;30;-1.19500732421875;0;0;93.615005493164063;False;False
2006-05-22 11:49:44.490000000;30;-1.1399993896484375;0;0;93.615005493164063;False;False
2006-05-22 11:49:44.600000000;30;-0.80999755859375;0;0;93.615005493164063;False;False
2006-05-22 11:49:44.693000000;30;-0.654998779296875;0;0;93.615005493164063;False;False
2006-05-22 11:49:44.787000000;30;-0.57000732421875;0;0;91.830001831054687;False;False
2006-05-22 11:49:44.880000000;30;-0.3300018310546875;0;0;91.830001831054687;False;False
2006-05-22 11:49:44.977000000;30;-0.2050018310546875;0;0;91.830001831054687;False;False
2006-05-22 11:49:45.067000000;30;0.035003662109375;0;0;91.830001831054687;False;False
